"filename", "language", "Less", "HTML", "TypeScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\DATN\Seller-Web\src\app\modals\chat\views\receiver\receiver.component.ts", "TypeScript", 0, 0, 33, 0, 0, 1, 5, 39
"d:\DATN\Seller-Web\src\app\modals\create-product\create-product.component.html", "HTML", 0, 61, 0, 0, 0, 0, 1, 62
"d:\DATN\Seller-Web\src\app\modals\create-product\create-product.component.scss", "SCSS", 0, 0, 0, 30, 0, 0, 3, 33
"d:\DATN\Seller-Web\src\app\modals\create-product\create-product.component.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 7, 112
"d:\DATN\Seller-Web\src\app\modals\create-user\create-user.component.html", "HTML", 0, 68, 0, 0, 0, 0, 2, 70
"d:\DATN\Seller-Web\src\app\modals\create-user\create-user.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DATN\Seller-Web\src\app\modals\create-user\create-user.component.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 2, 65
"d:\DATN\Seller-Web\src\app\modals\forgot-pw\index.html", "HTML", 0, 31, 0, 0, 0, 0, 7, 38
"d:\DATN\Seller-Web\src\app\modals\forgot-pw\index.scss", "SCSS", 0, 0, 0, 17, 0, 0, 1, 18
"d:\DATN\Seller-Web\src\app\modals\forgot-pw\index.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 6, 115
"d:\DATN\Seller-Web\src\app\models\file-upload.model.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 2, 11
"d:\DATN\Seller-Web\src\app\seller\order-detail\order-detail.component.html", "HTML", 0, 82, 0, 0, 0, 0, 2, 84
"d:\DATN\Seller-Web\src\app\seller\order-detail\order-detail.component.scss", "SCSS", 0, 0, 0, 107, 0, 1, 14, 122
"d:\DATN\Seller-Web\src\app\seller\order-detail\order-detail.component.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 10, 112
"d:\DATN\Seller-Web\src\app\seller\order\order.component.html", "HTML", 0, 67, 0, 0, 0, 0, 4, 71
"d:\DATN\Seller-Web\src\app\seller\order\order.component.scss", "SCSS", 0, 0, 0, 61, 0, 0, 7, 68
"d:\DATN\Seller-Web\src\app\seller\order\order.component.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 9, 100
"d:\DATN\Seller-Web\src\app\seller\product-detail\product-detail.component.html", "HTML", 0, 94, 0, 0, 0, 22, 2, 118
"d:\DATN\Seller-Web\src\app\seller\product-detail\product-detail.component.scss", "SCSS", 0, 0, 0, 30, 0, 0, 3, 33
"d:\DATN\Seller-Web\src\app\seller\product-detail\product-detail.component.ts", "TypeScript", 0, 0, 188, 0, 0, 2, 10, 200
"d:\DATN\Seller-Web\src\app\seller\product\product.component.html", "HTML", 0, 56, 0, 0, 0, 0, 1, 57
"d:\DATN\Seller-Web\src\app\seller\product\product.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DATN\Seller-Web\src\app\seller\product\product.component.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 10, 97
"d:\DATN\Seller-Web\src\app\seller\register-adv\register-adv.component.html", "HTML", 0, 94, 0, 0, 0, 0, 3, 97
"d:\DATN\Seller-Web\src\app\seller\register-adv\register-adv.component.scss", "SCSS", 0, 0, 0, 42, 0, 0, 6, 48
"d:\DATN\Seller-Web\src\app\seller\register-adv\register-adv.component.ts", "TypeScript", 0, 0, 291, 0, 0, 3, 20, 314
"d:\DATN\Seller-Web\src\app\seller\revenue\revenue.component.html", "HTML", 0, 74, 0, 0, 0, 0, 3, 77
"d:\DATN\Seller-Web\src\app\seller\revenue\revenue.component.scss", "SCSS", 0, 0, 0, 49, 0, 2, 9, 60
"d:\DATN\Seller-Web\src\app\seller\revenue\revenue.component.ts", "TypeScript", 0, 0, 215, 0, 0, 4, 11, 230
"d:\DATN\Seller-Web\src\app\service\auth-guard.service.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 8, 32
"d:\DATN\Seller-Web\src\app\service\injector.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 4, 12
"d:\DATN\Seller-Web\src\app\service\rest-api.service.ts", "TypeScript", 0, 0, 18, 0, 0, 3, 8, 29
"d:\DATN\Seller-Web\src\app\service\upload-file.service.ts", "TypeScript", 0, 0, 61, 0, 0, 17, 16, 94
"d:\DATN\Seller-Web\src\environments\environment.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 2, 13
"d:\DATN\Seller-Web\src\index.html", "HTML", 0, 13, 0, 0, 0, 0, 1, 14
"d:\DATN\Seller-Web\src\main.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 4, 8
"d:\DATN\Seller-Web\src\styles.scss", "SCSS", 0, 0, 0, 1, 0, 1, 1, 3
"d:\DATN\Seller-Web\src\theme.less", "Less", 1, 0, 0, 0, 0, 5, 4, 10
"Total", "-", 1, 1363, 3074, 813, 0, 155, 436, 5842
